epoch,sat,c1_raw_m,c1_tgd_m,c2_m,if_m,tgd_s,tgd_m,tx_raw_offset_s,tx_tgd_offset_s,tx_if_offset_s,dt_tgd_ns,dt_if_ns,dt_raw_if_ns,dc1_m,c1_raw_back_m,c1_tgd_back_m,if_back_m,c1_raw_residual_m,c1_tgd_residual_m,if_residual_m
2025-01-01 00:04:0.000000,G10,20175047.143,20175045.366,20175047.853,20175046.046,2.328306436540e-09,1.776940162793e+00,-6.703904297087e-02,-6.703903704364e-02,-6.703903698181e-02,5.927234383862e+00,6.182701572932e-02,5.989061399592e+00,1.776940163225e+00,2.017504714300e+07,2.017504536606e+07,2.017504604553e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:04:0.000000,G12,22386355.071,22386364.666,22386355.001,22386355.179,-1.257285475731e-08,-9.595476879077e+00,-7.411107011273e-02,-7.411110211980e-02,-7.411108304650e-02,-3.200706563677e+01,1.907329136297e+01,-1.293377427380e+01,-9.595476880670e+00,2.238635507100e+07,2.238636466648e+07,2.238635517920e+07,3.725290298462e-09,3.725290298462e-09,7.450580596924e-09
2025-01-01 00:04:0.000000,G23,21405592.505,21405598.902,21405593.115,21405591.562,-8.381903171539e-09,-6.396984586050e+00,-7.179625324601e-02,-7.179627458405e-02,-7.179625848275e-02,-2.133804374860e+01,1.610129625462e+01,-5.236747493975e+00,-6.396984584630e+00,2.140559250500e+07,2.140559890198e+07,2.140559156211e+07,3.725290298462e-09,3.725290298462e-09,3.725290298462e-09
2025-01-01 00:04:0.000000,G24,24586359.357,24586357.580,24586366.507,24586348.305,2.328306436539e-09,1.776940162792e+00,-8.154274630051e-02,-8.154274037328e-02,-8.154270710686e-02,5.927234369985e+00,3.326642115942e+01,3.919365552940e+01,1.776940163225e+00,2.458635935700e+07,2.458635758006e+07,2.458634830505e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:04:0.000000,G25,20649773.609,20649769.344,20649776.199,20649769.606,5.587935447690e-09,4.264656390698e+00,-6.937764655860e-02,-6.937763233324e-02,-6.937762761665e-02,1.422536249907e+01,4.716594503851e+00,1.894195700292e+01,4.264656390995e+00,2.064977360900e+07,2.064976934434e+07,2.064976960557e+07,-3.725290298462e-09,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:04:0.000000,G28,21663468.347,21663475.455,21663468.387,21663468.285,-9.313225746150e-09,-7.107760651164e+00,-7.173793268816e-02,-7.173795639710e-02,-7.173794179515e-02,-2.370893750769e+01,1.460195146741e+01,-9.106986040286e+00,-7.107760652900e+00,2.166346834700e+07,2.166347545476e+07,2.166346828517e+07,0.000000000000e+00,0.000000000000e+00,3.725290298462e-09
2025-01-01 00:04:0.000000,G31,23536026.623,23536036.929,23536029.833,23536021.661,-1.350417733190e-08,-1.030625294417e+01,-7.828890707739e-02,-7.828894145535e-02,-7.828890403083e-02,-3.437795938199e+01,3.742451921973e+01,3.046559837738e+00,-1.030625294521e+01,2.353602662300e+07,2.353603692925e+07,2.353602166121e+07,-3.725290298462e-09,-3.725290298462e-09,-3.725290298462e-09
2025-01-01 00:05:0.000000,G10,20173978.809,20173977.032,20173979.899,20173977.124,2.328306436540e-09,1.776940162793e+00,-6.703547840244e-02,-6.703547247521e-02,-6.703547045410e-02,5.927234369985e+00,2.021104283934e+00,7.948338653918e+00,1.776940163225e+00,2.017397880900e+07,2.017397703206e+07,2.017397712416e+07,-3.725290298462e-09,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:05:0.000000,G12,22399728.833,22399738.428,22399730.223,22399726.684,-1.257285475731e-08,-9.595476879077e+00,-7.415567989091e-02,-7.415571189797e-02,-7.415568529693e-02,-3.200706563677e+01,2.660104100882e+01,-5.406024627952e+00,-9.595476880670e+00,2.239972883300e+07,2.239973842848e+07,2.239972668444e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:05:0.000000,G23,21437648.545,21437654.942,21437649.855,21437646.520,-8.381903171539e-09,-6.396984586050e+00,-7.190318104462e-02,-7.190320238266e-02,-7.190318267217e-02,-2.133804374860e+01,1.971049125304e+01,-1.627552495553e+00,-6.396984584630e+00,2.143764854500e+07,2.143765494198e+07,2.143764652010e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
