epoch,sat_count,mean_elevation_deg,mean_trop_m,min_trop_m,max_trop_m
2025-01-01 04:57:00.000,8,38.828733,4.927398,2.576505,10.853227
2025-01-01 04:58:00.000,7,42.683898,4.065205,2.581212,5.825761
2025-01-01 04:59:00.000,7,42.806595,4.050701,2.586070,5.889113
2025-01-01 05:00:00.000,7,42.927615,4.037315,2.591077,5.954187
2025-01-01 05:01:00.000,7,43.046951,4.025026,2.596236,6.021050
2025-01-01 05:02:00.000,7,43.164593,4.013815,2.601544,6.089772
2025-01-01 05:03:00.000,7,43.280529,4.003666,2.607002,6.160428
2025-01-01 05:04:00.000,7,43.394746,3.994564,2.612611,6.233098
2025-01-01 05:05:00.000,7,43.507227,3.986497,2.618370,6.307864
2025-01-01 05:06:00.000,7,43.617955,3.979453,2.624279,6.384814
2025-01-01 05:07:00.000,7,43.726910,3.973426,2.630339,6.464041
2025-01-01 05:08:00.000,7,43.834070,3.968408,2.636549,6.545643
2025-01-01 05:09:00.000,7,43.939412,3.964394,2.642909,6.629723
2025-01-01 05:10:00.000,7,44.042911,3.961383,2.649421,6.716391
2025-01-01 05:11:00.000,7,44.144538,3.959373,2.656083,6.805764
2025-01-01 05:12:00.000,7,44.244266,3.958366,2.662896,6.897966
2025-01-01 05:13:00.000,7,44.342063,3.958365,2.666220,6.993126
2025-01-01 05:14:00.000,7,44.437897,3.959375,2.654664,7.091384
2025-01-01 05:15:00.000,7,44.531732,3.961403,2.643438,7.192889
2025-01-01 05:16:00.000,7,44.623533,3.964459,2.632537,7.297797
2025-01-01 05:17:00.000,7,44.713262,3.968555,2.621957,7.406278
2025-01-01 05:18:00.000,8,44.162146,3.944476,2.611693,7.518509
2025-01-01 05:19:00.000,8,44.196913,3.953093,2.601741,7.634683
2025-01-01 05:20:00.000,7,44.969607,3.987228,2.592097,7.755004
2025-01-01 05:21:00.000,7,45.050630,3.995644,2.582757,7.879691
2025-01-01 05:22:00.000,8,44.290355,3.985018,2.573716,8.008979
2025-01-01 05:23:00.000,8,44.317742,3.997758,2.564972,8.143119
2025-01-01 05:24:00.000,8,44.343174,4.011590,2.556520,8.282381
2025-01-01 05:25:00.000,8,44.366602,4.026546,2.548358,8.427058
2025-01-01 05:26:00.000,7,45.420354,4.055322,2.540482,8.577461
2025-01-01 05:27:00.000,7,45.486840,4.071015,2.532888,8.733928
2025-01-01 05:28:00.000,8,44.424350,4.078507,2.525573,8.896826
2025-01-01 05:29:00.000,8,44.439236,4.098328,2.518535,9.066548
2025-01-01 05:30:00.000,8,44.451839,4.119479,2.511771,9.243523
2025-01-01 05:31:00.000,8,44.462096,4.142014,2.505278,9.428214
2025-01-01 05:32:00.000,8,44.469937,4.165993,2.499052,9.621128
2025-01-01 05:33:00.000,8,44.475289,4.191482,2.493093,9.822812
2025-01-01 05:34:00.000,8,44.478075,4.218553,2.487397,10.033869
2025-01-01 05:35:00.000,8,44.478211,4.247287,2.481961,10.254953
2025-01-01 05:36:00.000,8,44.475608,4.277771,2.476784,10.486782
2025-01-01 05:37:00.000,8,44.470172,4.310103,2.471864,10.730147
2025-01-01 05:38:00.000,8,44.461800,4.344390,2.467198,10.985915
2025-01-01 05:39:00.000,8,44.450383,4.380750,2.462785,11.255043
2025-01-01 05:40:00.000,8,44.435804,4.419316,2.458622,11.538590
2025-01-01 05:41:00.000,8,44.417936,4.460234,2.454708,11.837730
2025-01-01 05:42:00.000,8,44.396645,4.503667,2.451041,12.153766
2025-01-01 05:43:00.000,8,44.371787,4.549798,2.447619,12.488151
2025-01-01 05:44:00.000,8,44.343208,4.598830,2.444442,12.842513
2025-01-01 05:45:00.000,7,49.153728,3.427038,2.441506,4.580876
2025-01-01 05:46:00.000,7,49.156148,3.433380,2.438812,4.619441
